Name,Height,Weight,Nationality
N. D'Agostino,175,77,Australia
22 A. El Khayati,185,69,Netherlands
S. Diomande,184,74,Côte d'Ivoire
C. Hlistei,178,70,Romania
M. Estol,167,73,Uruguay
22 Jaime Santos,178,64,Spain
Kevin Pina,190,83,Cape Verde Islands
22 F. Pérez,169,67,Uruguay
M. Hjulmand,185,78,Denmark
L. Kübler,182,74,Germany
22 N. Nomura,168,65,Japan
J. Trasante,175,70,Uruguay
Fabiano Souza,170,64,Brazil
21 Pedro Mendes,187,84,Portugal
22 A. Finnbogason,184,80,Iceland
K. Zenón,177,70,Argentina
J. Sand,182,79,Argentina
22 B. Mansilla,180,81,Argentina
M. Kempf,186,87,Germany
Ö. Toprak,186,83,Turkey
H. Zuck,176,69,Germany
22 N. Cabanillas,170,66,Peru
C. Lang,180,70,England
G. Kyriakopoulos,178,74,Greece
P. Will,185,77,Germany
E. Cömert,183,80,Switzerland
G. Paz,180,70,Argentina
L. Lyratzis,176,70,Greece
A. Pinamonti,188,72,Italy
A. Fein,187,81,Germany
A. Riccardi,178,68,Italy
W. Willumsson,193,84,Iceland
Á. Preciado,173,74,Ecuador
Y. Regeer,178,68,Netherlands
A. Pelmard,180,68,France
22 L. Owusu,174,68,Netherlands
Ž. Rogelj,170,65,Slovenia
21 A. Ramúa,165,68,Argentina
D. Sinik,180,74,Turkey
20 D. Zsótér,170,68,Hungary
P. Bengtsson,177,74,Sweden
Florentino,184,74,Portugal
T. Ream,186,80,United States
J. Larrivey,186,82,Argentina
O. Popescu,180,66,Romania
E. Rivera,180,75,Bolivia
B. Johnson,180,69,England
J. Van Cleemput,183,73,Belgium
Adrián López,183,73,Spain
Vitinho,175,68,Brazil
A. Christensen,188,81,Denmark
19 M. Hartmann,183,77,Germany
22 A. El Bouchataoui,178,74,Netherlands
Yang Liyu,179,65,China PR
Álex Petxa,178,67,Spain
I. Soro,173,76,Côte d'Ivoire
22 T. Suzuki,168,64,Japan
D. Saint-Louis,184,78,Congo
V. Birmančević,179,67,Serbia
S. Luperto,191,75,Italy
A. Bamba,182,72,Côte d'Ivoire
F. Mater,164,64,Argentina
21 R. Fernández,172,74,Uruguay
D. Joveljić,181,75,Serbia
11 G. Neville,179,79,England
M. El Arouch,172,64,France
B. Goller,180,67,Germany
D. Köhn,180,73,Germany
J. Bonde,186,75,Denmark
21 C. Carmona,173,68,Chile
J. Doku,171,60,Belgium
22 U. Emanuelson,176,68,Netherlands
J. Larsen,193,86,Norway
21 J. Padilla,172,66,Ecuador
T. Guidara,173,70,Argentina
M. Prietl,187,79,Austria
E. López,175,76,Argentina
12 H. Bamogo,176,72,Burkina Faso
I. Abdulrazak,176,70,Nigeria
A. Fontana,173,68,United States
A. Hartigan,178,68,England
T. Augello,180,70,Italy
M. Cuero,178,83,Colombia
D. Charles,177,67,Northern Ireland
21 L. MacLeod,175,72,Scotland
M. Barrow,177,60,Gambia
Eric Curbelo,177,77,Spain
J. Obiang,170,64,Gabon
B. Martínez,170,75,Argentina
Gonçalo Inácio,185,78,Portugal
K. Mudau,181,73,South Africa
D. Cockburn,178,79,Jamaica
S. Arzamendia,172,72,Paraguay
20 C. Oliveira Souza,172,68,Brazil
Akieme,175,70,Spain
Nouhou,178,79,Cameroon
J. Dehm,181,73,Germany
J. López,182,72,Argentina
F. Afena-Gyan,175,75,Ghana
A. Mršić,188,80,Croatia
A. Deiola,190,85,Italy
A. Klynge,174,70,Denmark
E. Bove,176,65,Italy
L. Cabrera,190,82,Uruguay
P. Liza,185,86,Peru
N. Djurasek,173,74,Croatia
Martín Calderón,183,75,Spain
22 R. Morishita,167,69,Japan
21 Rúben Freitas,180,76,Portugal
M. Mimaroğlu,178,73,Turkey
J. Bree,178,74,England
L. Gueye,178,74,Senegal
W. Fofana,190,76,France
F. Navarro,170,69,Argentina
Felipe,190,83,Brazil
Pedro Bicalho,178,73,Brazil
20 A. Rizzo,180,73,Italy
A. Blin,184,78,France
D. Casiraghi,177,73,Italy
A. Jakolis,175,67,Croatia
22 Jon Magunazelaia,180,70,Spain
D. Boloca,185,80,Italy
D. Jones,193,75,United States
22 Y. Uchida,171,62,Japan
S. Iljutcenko,187,82,Russia
José Gragera,187,81,Spain
S. Nordli,181,78,Norway
J. Okumu,193,75,Kenya
J. Vagnoman,190,90,Germany
E. Tagseth,171,67,Norway
22 P. Lima,175,75,Bolivia
22 Igor,185,78,Brazil
E. Velasco,166,63,Ecuador
E. Adebayo,193,89,England
16 M. Klose,184,84,Germany
Sergio López,179,70,Spain
K. Peprah,160,75,Ghana
T. Kehinde,178,75,Nigeria
J. Benson,178,76,England
R. Villagra,178,76,Argentina
J. Mateta,192,88,France
N. Mbuku,170,65,France
Nascimentardo,170,66,Brazil
22 R. Ibarra,176,77,Ecuador
R. Pröpper,190,78,Netherlands
A. Bosetti,170,65,France
D. Furlong,183,75,England
M. Nastasić,188,83,Serbia
C. Ribera,175,67,Bolivia
Leonardo,180,77,Brazil
Lucas Barros,180,66,Brazil
V. Ticu,181,76,Romania
J. Doig,189,71,Scotland
T. Richards,180,78,England
J. Carabalí,170,73,Ecuador
22 T. Kida,170,64,Japan
B. Locko,180,65,France
G. Friend,188,83,England
A. Perea,183,72,United States
S. Field,185,65,England
D. Burnić,180,73,Germany
Borja Bastón,188,82,Spain
Francisco Moura,182,66,Portugal
22 K. Tachibanada,169,68,Japan
22 Raúl,187,80,Brazil
M. Waad,183,68,Qatar
Ewerton,175,73,Brazil
D. Quintero,166,66,Colombia
22 O. Bukari,170,68,Ghana
I. Saavedra,174,73,Chile
E. Sabbi,178,70,United States
22 K. Castañeda,174,79,Mexico
R. Jaramillo,177,72,Ecuador
J. Insaurralde,188,87,Argentina
P. Akouokou,182,68,Côte d'Ivoire
V. Mykolenko,180,71,Ukraine
S. Pinas,182,67,Suriname
R. Watson,185,73,England
22 J. Quiñónez,182,72,Ecuador
G. Suazo,178,72,Chile
J. Gradit,180,75,France
22 L. Villar,182,81,Peru
L. Traoré,182,90,Burkina Faso
S. Lammers,189,77,Netherlands
J. Gelhardt,179,76,England
22 D. Khlusevich,182,72,Russia
N. Fröling,180,80,Sweden
M. Aké,177,68,France
22 R. Manjarrés,181,75,Colombia
T. Douvikas,186,76,Greece
H. Dervişoğlu,183,76,Turkey
G. Sibilli,180,76,Italy
C. Larin,188,90,Canada
12 Michel Salgado,174,75,Spain
Tiago Djaló,190,82,Portugal
A. Máx,168,70,Argentina
J. Tchatchoua,186,76,Belgium
M. Kennedy,175,68,Northern Ireland
19 F. Al Ansari,195,73,Kuwait
F. Franco,176,76,Paraguay
I. Schor,182,74,Argentina
M. Corboz,180,76,United States
B. Mikeltadze,185,77,Georgia
O. Boussaid,168,62,Belgium
Toni Martínez,187,84,Spain
U. Garcia,183,82,Switzerland
22 E. Torres,177,74,Mexico
N. Schmidt,184,84,Germany
P. Mullin,178,71,England
22 M. Kehl-Goméz,181,78,Switzerland
22 Anderson Lopes,185,82,Brazil
A. Harit,180,67,Morocco
22 Higor Meritão,186,84,Brazil
C. Brittain,181,68,England
20 E. Adebayor,192,82,Togo
21 S. Vasilantonopoulos,180,67,Greece
Y. Congo,177,76,Colombia
D. Limnios,178,71,Greece
Jesús Vázquez,182,77,Spain
D. Lenihan,188,76,Republic of Ireland
R. Jureskin,188,80,Croatia
16 M. Peersman,184,69,Belgium
T. Bakinson,191,82,England
A. Forde,180,82,Republic of Ireland
N. Milenković,195,90,Serbia
F. Gerometta,175,72,Argentina
22 L. Griffiths,174,77,Scotland
I. Nestorovski,182,75,North Macedonia
14 B. Emerton,185,85,Australia
T. Lowery,168,75,England
22 F. Saldías,170,72,Bolivia
N. Cordero,184,78,Argentina
V. Edvardsen,185,86,Sweden
22 V. Larralde,170,63,Argentina
16 Luiz Henrique,170,76,Brazil
22 J. Dos Santos,178,79,Uruguay
J. Leweling,184,86,Germany
21 A. Ocampo,172,71,Uruguay
K. Sandoval,173,69,Peru
M. Retegui,186,86,Argentina
M. Núñez,173,70,Chile
22 E. Martínez,184,80,Uruguay
João Victor,187,80,Brazil
E. Valencia,176,68,Chile
21 K. Sato,176,68,Japan
Pablo Torre,173,63,Spain
J. Mercado,177,74,Bolivia
Víctor Ruiz,185,78,Spain
22 Dawhan,177,69,Brazil
A. Bonnet,173,65,France
22 C. Diez,176,71,Peru
Nolaskoain,186,82,Spain
S. Sutton,175,71,New Zealand
S. Boey,178,70,Cameroon
S. Nsoki,184,83,France
22 K. Romay,172,70,Bolivia
C. Dessers,185,87,Nigeria
V. Sourlis,184,74,Greece
N. Iyobosa Edokpolor,178,75,Austria
E. Holm,191,83,Sweden
J. Schöppner,190,78,Germany
C. Robinson,178,75,Republic of Ireland
22 G. Imbula,188,84,Congo DR
I. Cardona,185,76,France
21 L. Necul,171,72,Argentina
Javi Alonso,183,75,Spain
F. Soldano,180,76,Argentina
Kim Min Jae,190,81,Korea Republic
21 F. Lepore,178,72,Italy
22 Y. Kobayashi,182,72,Japan
T. Parrott,185,78,Republic of Ireland
P. López,169,65,Uruguay
A. Mitriță,165,68,Romania
N. Pallois,189,89,France
N. Netabay,172,68,Sweden
Jeong Woo Yeong,179,69,Korea Republic
17 A. Diarra,190,79,France
22 F. Ezeh,176,74,Nigeria
B. Badiashile,194,75,France
José Ángel,182,80,Spain
D. Selke,195,84,Germany
M. Romeo,178,73,Antigua and Barbuda
Javi Jiménez,170,70,Spain
M. Hanousek,182,74,Czech Republic
Francho Serrano,177,72,Spain
J. Laursen,181,77,Denmark
P. Rommens,175,69,Belgium
I. Kébé,185,80,Mali
C. Diakité,173,63,France
Murildo Kauê,178,78,Brazil
22 K. Álvarez,176,66,Mexico
M. Cova,173,64,Venezuela
Sergi Gómez,185,76,Spain
E. Destan,186,83,Turkey
S. Terodde,192,83,Germany
22 A. Velasco,178,75,Ecuador
W. Bondo,177,63,France
22 A. Terrazas,175,67,Bolivia
21 M. Maddison,180,71,England
Ó. Estupiñán,182,76,Colombia
I. Kebbal,169,60,Algeria
22 R. Flores,179,67,Venezuela
B. White,185,77,England
E. Elmalı,183,76,Turkey
A. Sayyadmanesh,182,74,Iran
A. Franco,176,67,Ecuador
D. Watmore,175,72,England
A. Čolak,188,81,Croatia
R. Örqvist,184,81,Sweden
J. Murillo,183,80,Colombia
22 S. Owusu,168,66,Ghana
H. Palacios,181,76,Colombia
N. Williams,183,72,Wales
G. Giorbelidze,174,68,Georgia
20 Nacho,177,70,Spain
M. Guéhi,182,82,England
22 S. Skytte,190,85,Denmark
A. Sapara,175,69,Nigeria
E. Henderson,186,68,Scotland
E. Kahl,178,69,Sweden
H. Charsley,175,64,Republic of Ireland
Davo,178,71,Spain
Diego Rosa,178,70,Brazil
G. Higuaín,186,89,Argentina
13 C. Meriem,174,70,France
R. Ríos,174,68,Argentina
M. Kilman,194,89,England
22 A. Üner,170,65,Turkey
A. Trajkovski,179,78,North Macedonia
Pepê,173,72,Brazil
J. Baas,183,80,Netherlands
E. Clavijo,180,80,Ecuador
F. Medina,184,77,Argentina
P. Lane,175,65,Northern Ireland
R. Assalé,167,65,Côte d'Ivoire
M. Cangá,181,76,Ecuador
S. Banza,189,77,France
K. Tagawa,181,70,Japan
M. Harris,182,75,Wales
A. Ceesay,189,74,Gambia
C. Ogilvie,184,82,England
D. Agazzi,173,70,Italy
K. Davis,191,88,England
20 G. Chaalali,179,73,Tunisia
L. Flach,178,75,United States
F. Pacheco,177,81,Peru
22 M. Quiroga,175,68,Bolivia
Marquinhos,170,71,Brazil
15 M. Al Laham,170,70,Jordan
Cantero,184,75,Spain
A. Buksa,191,77,Poland
J. Anthony,183,68,England
V. Jensen,175,65,Denmark
R. Piscopo,170,69,Australia
Toti Gomes,187,83,Portugal
B. Eva Nga,190,86,Cameroon
21 K. Peralta,189,79,Ecuador
A. Andrade,187,78,Panama
T. Jantschke,177,76,Germany
T. Campbell,183,75,England
R. Tesuri,166,60,Argentina
O. Hernández,172,76,Cuba
O. Villadsen,173,70,Denmark
22 T. Carroll,177,69,England
H. Al Haydos,170,66,Qatar
22 L. Martell,181,77,Venezuela
Matheus Bueno,178,72,Brazil
21 A. Nedyalkov,181,70,Bulgaria
N. Morgantini,175,70,Argentina
21 Peng Weisheng,183,73,China PR
Dany Mota,180,74,Portugal
Nuno da Costa,182,70,Cape Verde Islands
J. Estupiñán,173,69,Colombia
T. Gjertsen,175,72,Norway
T. Ince,178,66,England
A. Smrcka,177,72,Austria
22 I. Ynfante,165,60,Argentina
Miguel Maga,175,68,Portugal
E. Mero,173,78,Ecuador
22 T. Escalante,170,67,Argentina
C. Forsyth,189,83,Scotland
M. Ajani,188,86,Germany
Kiko Bondoso,171,66,Portugal
J. Graham,182,73,England
J. Tagueu,178,70,Cameroon
A. Al Bishi,173,73,Saudi Arabia
E. Amenyido,180,75,Togo
R. Leal,169,66,Costa Rica
R. Reitz,176,72,Germany
J. Verhoek,188,87,Netherlands
19 A. Tziolis,191,90,Greece
S. Rhein,180,74,Germany
13 J. Boumsong,190,88,France
C. Stengs,187,68,Netherlands
J. Siebatcheu,191,86,United States
A. Gutiérrez,176,73,Colombia
F. Colidio,179,68,Argentina
R. Sottil,180,75,Italy
C. Zambrano,185,77,Peru
N. Castro,181,75,Argentina
S. Abdulhamid,175,70,Saudi Arabia
Yin Hongbo,180,72,China PR
21 D. Armas,173,73,Ecuador
M. Steinmann,188,80,Germany
Gaspar Campos,175,73,Spain
A. Ståhl,187,75,Sweden
22 O. Diakité,187,87,Mali
J. Rodríguez,163,63,Ecuador
22 D. Prutsev,174,62,Russia
B. Soumaré,180,72,France
S. Savić,187,81,Montenegro
K. Bielik,194,78,Poland
K. Karataş,182,74,Turkey
J. Morales,171,69,Peru
21 R. Burbano,180,82,Ecuador
H. Abdelli,188,81,France
21 K. Huntelaar,186,83,Netherlands
T. Van Den Keybus,173,65,Belgium
E. Harrison,180,79,Wales
F. Ceccherini,187,75,Italy
H. Boateng,183,80,England
M. Solbakken,182,70,Norway
L. Kunze,189,78,Germany
M. Cuadra,173,71,Argentina
J. Olaitan Ishola,174,72,Benin
22 F. Vargas,178,72,Venezuela
D. Gayle,174,78,England
21 E. Rodríguez,161,60,Venezuela
C. Benteke,190,83,Belgium
S. van der Water,184,74,Netherlands
22 N. Zerhouni,173,75,Morocco
M. Sivis,173,73,France
J. Clarke-Harris,183,78,Jamaica
F. Kruspzky,181,74,Argentina
J. Morrell,168,63,Wales
O. Burke,188,82,Scotland
A. Zaroury,176,68,Belgium
F. Pellistri,175,65,Uruguay
22 Kwon Kyung Won,188,81,Korea Republic
22 M. Zunino,172,70,Uruguay
M. Osmajić,185,76,Montenegro
22 W. Corozo,180,66,Ecuador
J. Kerr,190,75,Scotland
S. Panada,175,72,Italy
I. Saibari,185,81,Morocco
O. Azubuike,170,70,Nigeria
C. Vélez,177,73,Ecuador
22 Carbonell,182,73,Spain
J. Mellot,178,77,France
22 J. Acevedo,177,80,Venezuela
C. Willock,178,67,England
A. Collins,185,74,Wales
Thiago Andrade,180,68,Brazil
I. Franco,171,66,Paraguay
C. Zafeiris,172,72,Norway
Léo Bonatini,185,82,Brazil
S. Lynen,185,82,Belgium
21 T. Tomić,183,73,Bosnia and Herzegovina
N. Orsini,191,92,Argentina
Javi Sánchez,189,79,Spain
F. Piasecki,186,77,Poland
21 M. Ćuže,188,80,Croatia
R. Alm,174,70,Sweden
L. Emini,176,74,Switzerland
N. Kilkenny,173,67,Australia
M. Carrasco,170,65,Ecuador
F. Baldassarra,178,75,Argentina
Javi Hernández,182,75,Spain
A. Zerbin,182,80,Italy
22 N. Folleco,176,75,Ecuador
15 F. Señoreli,180,70,Venezuela
22 C. Florenciañez,174,73,Paraguay
T. Anjorin,185,73,England
21 G. Milanov,185,75,Bulgaria
Vitinho,175,73,Brazil
D. Kownacki,185,75,Poland
Vivian,183,83,Spain
R. Porteous,188,75,Scotland
J. Martínez,176,69,Venezuela
W. Zimmerman,191,89,United States
Song Min Kyu,179,72,Korea Republic
S. Memišević,186,76,Bosnia and Herzegovina
R. Herrmann,181,73,Germany
22 D. Giménez,175,72,Argentina
P. Beruatto,184,78,Italy
B. Alhassan,187,75,Ghana
J. Nardoni,169,68,Argentina
Tiago Araújo,184,79,Portugal
Bryan Gil,175,65,Spain
C. Bramall,178,72,England
22 R. Smith,183,76,Austria
S. Jurić,189,83,Croatia
B. Balcı,176,69,Turkey
22 Sokratis,186,82,Greece
Lee Dong Jun,173,64,Korea Republic
21 L. Suhr,175,81,Uruguay
D. Rasak,184,77,Poland
C. Sosa,172,72,Venezuela
C. Soukou,185,85,Benin
Ely,187,74,Cape Verde Islands
D. Huisman,189,84,Netherlands
21 G. Velázquez,179,83,Paraguay
Joel Pereira,178,73,Portugal
19 M. Aleksandrov,180,74,Bulgaria
22 S. Ardaya,186,78,Bolivia
Unai Rementería,182,80,Spain
E. Kachunga,178,74,Congo DR
J. Medina,183,79,Ecuador
H. Mbock,186,82,France
H. Ekitike,189,70,France
G. Ondoua,185,74,Cameroon
J. Ward,167,68,England
R. Zambrano,175,74,Ecuador
G. Mancini,190,77,Italy
Dani Raba,184,76,Spain
Cristo González,178,69,Spain
Gabriel Strefezza,168,65,Brazil
L. Magnino,185,82,Italy
K. Rekik,186,84,Netherlands
22 Undabarrena,185,77,Spain
L. Scherff,175,70,Germany
19 Robinho,172,65,Brazil
21 C. Neumann,182,75,Paraguay
C. Chávez,171,66,Argentina
T. Archibald,180,75,Scotland
22 Y. Asano,173,72,Japan
K. Nakamura,180,75,Japan
G. Thomson,175,69,England
Pubill,190,82,Spain
R. Feltscher,184,85,Venezuela
Y. Akgün,173,65,Turkey
22 J. Izquierdo,171,71,Colombia
22 O. Añez,172,66,Bolivia
22 Leandro Damião,188,90,Brazil
L. Ramazani,167,55,Belgium
A. Sabella,178,72,Argentina
S. Ogrinec,183,72,Slovenia
19 J. Ramaré,180,74,France
É. Cetré,169,74,Ecuador
S. Oum Gouet,185,74,Cameroon
B. Veglio,164,61,Uruguay
L. Garro,175,75,Peru
S. Elia,183,70,Italy
N. Ampomah,175,68,Ghana
J. Kade,182,67,Germany
Hélder Morim,181,78,Portugal
22 J. Sánchez,177,74,Ecuador
K. Arnstad,168,60,Norway
A. Fatawu Issahaku,177,73,Ghana
16 Gustavo Scarpa,177,63,Brazil
R. Harper,188,76,England
Rafael Brito,183,78,Portugal
T. Kalas,184,86,Czech Republic
Dário Essugo,178,79,Portugal
22 João Carvalho,172,67,Portugal
15 S. Crainey,175,61,Scotland
E. Vignato,175,67,Italy
J. Mejdr,185,87,Czech Republic
J. Scally,184,80,United States
22 J. Quiñónez,176,69,Ecuador
A. Long,185,79,United States
V. Anita,168,66,Curacao
Daniel Penha,170,68,Brazil
A. Hamdi,178,68,Egypt
J. Stephens,185,75,England
M. Čabraja,182,79,Croatia
Tiago Dantas,169,58,Portugal
F. Baschirotto,184,78,Italy
Z. Aboukhlal,178,73,Morocco
M. Palacios,168,67,Argentina
22 F. Andrada,181,75,Argentina
B. Reeves,172,67,Northern Ireland
F. Boya,190,88,Cameroon
R. van der Venne,173,72,Netherlands
19 D. Böde,190,85,Hungary
B. Trawally,185,70,Gambia
Z. Vanheusden,187,78,Belgium
B. Elmaz,173,65,Turkey
14 Edmílson,183,84,Brazil
J. Brenet,181,74,Netherlands
M. Stamenic,188,78,New Zealand
21 M. Suárez,170,69,Bolivia
G. Rutter,182,83,France
F. Rieder,179,74,Switzerland
Rodri,168,62,Spain
G. Kalulu,176,74,Congo DR
Abdu Conté,183,76,Portugal
M. Coronel,170,71,Argentina
Bruno Viana,187,79,Brazil
22 J. Montero,170,67,Ecuador
22 Elliot,177,72,Spain
A. Frías,180,77,Argentina
S. Bornauw,191,83,Belgium
M. van Bergen,170,62,Netherlands
S. Dembélé,173,67,Scotland
J. Piroe,185,74,Netherlands
22 E. Aguilera,187,93,Argentina
E. Schelotto,187,77,Italy
T. Ambrose,178,76,France
22 C. Songkrasin,158,56,Thailand
22 João Teixeira,177,69,Portugal
C. Guy,178,64,England
22 R. Vilca,175,68,Peru
G. Kostadinov,185,75,Bulgaria
L. Leroy,187,82,France
J. Morel,184,80,Paraguay
Jota Silva,179,73,Portugal
I. Konaté,194,95,France
J. Nišić,177,71,Serbia
M. Ruggeri,187,79,Italy
22 J. Durán,165,62,Peru
21 Carles Salvador,175,69,Spain
O. Mora,170,83,Peru
F. Becker,177,71,Germany
M. Sampirisi,188,75,Italy
Tomás Silva,172,64,Portugal
M. Jay,169,64,England
22 M. Titsch Rivero,182,76,Germany
N. Orellana,180,73,Chile
22 A. Selmani,184,82,Kosovo
Beñat Prados,180,72,Spain
A. Šporar,186,82,Slovenia
21 R. Fernández,178,79,Uruguay
Jorge Molina,188,72,Spain
22 H. Frenschl,178,76,Austria
F. Melegoni,186,74,Italy
A. Smith,185,73,England
R. Schallenberg,185,76,Germany
22 D. Cicek,172,68,Germany
22 J. Villamarín,175,68,Peru
B. Gomis,184,86,France
Y. Borges Sanches,175,67,Luxembourg
22 Gorostidi,185,74,Spain
B. Kapustka,180,72,Poland
L. Amos,179,72,England
22 R. Champang,178,68,Ecuador
22 T. Persyn,179,67,Belgium
M. Mathisen,183,79,Denmark
22 W. Spieringhs,188,79,Netherlands
C. Stockton,186,75,England
C. Akpom,186,81,England
S. Botman,193,81,Netherlands
Rodrigo Muniz,185,79,Brazil
J. Russell,194,81,England
S. Maguire,175,68,Republic of Ireland
W. Gnonto,170,71,Italy
M. Loum,188,80,Senegal
22 Show,180,75,Angola
I. Antón,180,85,Venezuela
R. Boženík,188,81,Slovakia
22 C. Yacob,181,73,Argentina
U. Hünemeier,189,85,Germany
22 A. Medina,180,74,Mexico
R. Caicedo,181,74,Ecuador
11 C. Makélelé,174,70,France
18 I. Conté,176,60,Guinea
E. Babayan,180,73,Armenia
22 S. Scotto,180,70,Uruguay
22 C. Gomes,180,70,France
Neskes,177,70,Spain
A. Bondarenko,182,73,Ukraine
Blanco,176,68,Spain
M. Trésor,172,67,Belgium
J. Kadak,177,69,Slovakia
J. Sforza,180,76,Argentina
B. Smith,177,70,Australia
J. O'Sullivan,181,83,Republic of Ireland
L. Itter,183,76,Germany
A. Urzi,168,61,Argentina
22 J. Schwermann,183,79,Germany
22 Iker Bilbao,182,77,Spain
F. Macheda,185,77,Italy
B. Omeragic,187,74,Switzerland
21 G. Ngonda,172,76,Congo DR
M. Otazú,183,83,Paraguay
G. Moncur,176,63,England
E. Robson,178,73,England
K. Endo,175,70,Japan
11 Ronaldo,183,95,Brazil
R. Khedira,189,86,Germany
L. Bolívar,167,78,Venezuela
22 L. Rodríguez,170,62,Uruguay
R. Enrique,171,68,Argentina
K. Stewart,181,73,Jamaica
22 F. Catarozzi,179,72,Uruguay
Arnau Martínez,181,75,Spain
21 H. Hassan,175,73,Egypt
J. Vlak,191,75,Netherlands
N. Murru,180,74,Italy
M. Pinnock,190,69,England
J. Beauguel,196,96,France
J. Cummings,178,63,Scotland
A. Jashari,181,82,Switzerland
21 A. Contreras,177,64,Venezuela
22 K. Mainoo,175,80,England
22 A. Sasaki,180,72,Japan
Nguyễn Quang Hải,169,63,Vietnam
K. Faber,179,69,Germany
E. Radaslavescu,180,72,Romania
Y. Keitel,186,85,Germany
A. Romagnoli,185,75,Italy
W. Pacheco,172,63,Colombia
K. Quevedo,177,75,Peru
Imanol,177,63,Spain
20 Pedro,184,78,Brazil
P. Breier,185,77,Germany
22 C. Árabe,175,71,Bolivia
T. Børven,185,72,Norway
22 A. Camara,167,63,Guinea
15 A. Bancé,193,93,Burkina Faso
R. Gumny,182,71,Poland
T. Ndicka Matam,170,65,France
22 K. Matsuki,180,76,Japan
18 J. Álvarez,180,71,Venezuela
João Batxi,174,64,Angola
C. Penilla,176,78,Ecuador
João Victor,183,83,Brazil
22 N. Gallardo,179,73,Argentina
22 F. Viñas,181,80,Uruguay
T. Pozzo,168,68,Argentina
Seol Young Woo,180,72,Korea Republic
S. Ramizi,182,73,Kosovo
21 S. Gutiérrez,175,76,Ecuador
E. Hagen,188,70,Norway
Víctor Vázquez,175,75,Spain
F. Moreira,191,80,Uruguay
Jesús Bueno,178,74,Venezuela
K. Duah,183,80,Switzerland
José Fonte,191,84,Portugal
M. Lacroix,190,88,France
L. Fiorini,178,68,Scotland
21 L. de la Cruz,176,68,Paraguay
J. Rankin-Costello,183,64,England
S. Deli,192,86,Côte d'Ivoire
22 Robson Bambu,185,72,Brazil
J. Dilrosun,174,74,Netherlands
Manu Barreiro,193,81,Spain
21 J. Piquerez,182,81,Uruguay
L. Shaw,188,73,England
J. Acosta,173,71,Uruguay
B. Idrizi,179,73,Kosovo
A. Broja,191,75,Albania
22 A. Jóhannsson,184,70,United States
J. Holsgrove,180,70,Scotland
22 M. Benatia,189,94,Morocco
K. Minda,172,72,Ecuador
V. Jurečka,182,78,Czech Republic
Juande,183,74,Spain
22 P. Sandler,190,82,Netherlands
B. Oviedo,172,70,Costa Rica
21 A. Vera,175,71,Paraguay
T. Blackett,188,87,England
D. Mazzocco,186,75,Italy
Fer Niño,190,78,Spain
J. Braaf,180,84,Netherlands
J. Torunarigha,191,80,Germany
I. Angulo,179,71,Colombia
Felipe Vizeu,184,82,Brazil
P. Almqvist,183,67,Sweden
E. Rroca,182,75,Albania
Luís Neto,185,72,Portugal
J. Rojas,167,66,Ecuador
G. Ávila,182,75,Argentina
Gonçalo Esteves,171,73,Portugal
L. Klünter,184,76,Germany
I. Boura,173,68,France
S. Okaka,186,90,Italy
Zhang Yuning,185,80,China PR
22 G. Del Prete,175,64,Argentina
P. Velasco,173,77,Ecuador
P. McEleney,180,84,Republic of Ireland
Domingos Quina,175,66,Portugal
21 F. Jaramillo,185,83,Colombia
C. Woodrow,184,74,England
22 D. Makarov,181,75,Russia
21 G. Montes,174,74,Uruguay
22 C. Vargas,179,69,Mexico
J. Lepenant,176,71,France
B. Djimsiti,190,83,Albania
22 M. de los Santos,176,69,Uruguay
22 A. Radwański,170,63,Poland
Roberto López,180,70,Spain
P. Pušić,169,62,Switzerland
E. Remedi,169,77,Argentina
22 Y. Maejima,178,67,Japan
M. Cornejo,167,62,Peru
R. Lauritsen,189,78,Denmark
R. Onea,177,76,Romania
Y. Moukoko,175,73,Germany
C. Itten,190,84,Switzerland
C. Izquierdoz,185,85,Argentina
Vagnão Junior,172,62,Brazil
N. Hauptmann,176,63,Germany
F. Santander,187,84,Paraguay
A. Małachowski,183,78,Poland
J. Borja,178,70,Ecuador
22 M. Škvarka,173,66,Slovakia
A. Gnezda Čerin,180,77,Slovenia
G. Holohan,180,75,Republic of Ireland
N. Tarnat,179,74,Germany
J. Rooney,178,76,England
E. Kurtulus,185,75,Sweden
D. Ndoye,184,79,Switzerland
F. Tait,186,80,Italy
22 Clayson,170,63,Brazil
E. Zhegrova,174,66,Kosovo
B. Pawłowski,178,70,Poland
C. Grameni,178,72,Romania
18 N. Kranjčar,185,75,Croatia
Rodrigo Gomes,175,69,Portugal
S. Walsh,185,76,Netherlands
C. Okoroji,178,73,England
Luquinha,167,65,Brazil
B. Pichler,184,87,Austria
21 B. Sabovic,186,77,Sweden
H. Radetinac,187,73,Serbia
22 S. Sarachat,169,60,Thailand
22 Pedro Amador,181,73,Portugal
13 E. Smolarek,178,68,Poland
M. Vidangossy,171,71,Chile
M. Arezo,175,76,Uruguay
D. Avdijaj,172,70,Kosovo
22 R. Morales,174,74,Argentina
P. Mboungou,168,71,Congo
K. Saito,170,61,Japan
C. Timmins,182,72,Australia
F. Uviedo,170,65,Venezuela
D. Mikanović,174,70,Croatia
22 S. Maikuma,179,69,Japan
B. Leyes,173,76,Argentina
I. Pussetto,180,74,Argentina
E. Just,174,69,New Zealand
S. Polter,192,94,Germany
M. Montiel,186,77,Uruguay
